Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,10N,B,10N-B,WA-ABLA-L-10N-B,,,2013,0,0,0,0,0,94,RINGWIDTH,1,NotAFile,5/8/14 15:18,                   ,,1299 25441 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],560.0000 11920.0000 976.0000 25152.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,140.0727,0.529,0.547,0.416,0.379,0.417,0.406,0.185,0.501,0.379,0.411,0.495,0.83,0.766,0.777,0.587,0.683,0.608,0.624,0.598,0.614,0.54,0.534,0.608,0.8,0.625,0.444,0.593,0.476,0.774,0.814,0.522,0.566,0.767,0.724,0.672,0.602,0.795,0.778,0.633,0.695,0.736,0.727,0.868,0.713,0.915,0.74,0.974,1.005,0.898,1.1,0.82,0.716,0.874,1.021,0.841,1.8,1.666,1.627,2.415,1.76,1.166,1.314,1.295,1.338,0.913,1.209,0.911,1.228,1.025,1.002,1.353,2.302,2.505,1.271,2.606,1.714,2.249,2.447,2.299,2.018,1.899,2.43,2.62,1.988,2.206,2.862,2.478,2.889,2.815,2.165,3.14,2.049,3.183,2.678,,,,,,,,,,,,,,,,,
WA,ABLA,L,1C,A,1C-A,WA-ABLA-L-01C-A,,,2013,0,0,0,0,0,90,RINGWIDTH,1,WA-ABLA-L-1C-BOTH.tif,6/10/14 20:43,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],261.0000 13028.0000 421.0000 659.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,110.0829,0.485,0.893,0.561,0.48,0.71,0.73,0.492,0.539,0.302,0.381,0.461,0.745,0.626,0.628,0.675,0.944,0.666,0.929,0.959,0.842,0.966,1.008,0.817,0.91,0.588,0.8,0.894,1.372,0.843,0.976,0.619,0.754,0.642,0.388,0.601,0.468,0.624,0.649,0.726,0.602,0.865,0.802,0.531,0.729,0.933,0.938,1.387,0.988,0.983,0.857,0.612,0.923,0.914,0.974,0.787,1.224,0.944,1.348,1.485,1.511,1.434,2.041,1.908,1.733,1.97,1.834,1.133,0.881,1.481,1.968,1.694,1.959,1.287,1.273,1.471,1.544,1.152,1.23,1.363,1.111,1.524,1.528,1.373,1.846,1.859,1.812,1.311,3.026,2.405,7.289,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1C,B,1C-B,WA-ABLA-L-01C-B,,,2013,0,0,0,0,0,99,RINGWIDTH,1,WA-ABLA-L-1C-BOTH.tif,6/10/14 20:43,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2101.0000 9595.5000 2151.0000 3747.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,92.8173,0.154,0.254,0.175,0.195,0.262,0.285,0.222,0.384,0.29,0.111,0.269,0.421,0.23,0.309,0.42,0.404,0.405,0.693,0.524,0.476,0.413,0.413,0.571,0.56,0.388,0.305,0.365,0.441,0.701,0.603,0.164,0.142,0.167,0.078,0.278,0.452,0.545,0.525,0.459,0.461,0.344,0.616,0.539,0.674,0.408,0.381,0.713,0.538,0.662,0.667,0.458,0.314,0.508,0.548,0.48,0.97,0.818,1.007,1.114,1.262,0.883,0.983,0.721,0.972,1.331,0.954,0.647,0.551,0.6,0.51,0.406,0.897,0.416,0.64,0.681,0.761,0.651,0.8,1.087,1.093,1.066,0.926,1.174,1.783,1.839,1.926,1.629,2.187,1.982,1.732,1.255,1.267,1.094,1.865,1.833,2.533,2.357,2.006,5.284,,,,,,,,,,,,
WA,ABLA,L,10N,A,10N-A,WA-ABLA-L-10N-A,,,2013,0,0,0,0,0,94,RINGWIDTH,1,WA-ABLA-L-10N-BOTH.tif,5/4/15 12:38,                   ,,1299 25441 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],560.0000 12128.0000 480.0000 400.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,124.0934,0.29,0.311,0.359,0.338,0.333,0.279,0.254,0.377,0.298,0.324,0.385,0.566,0.534,0.56,0.355,0.475,0.39,0.427,0.491,0.458,0.399,0.498,0.442,0.509,0.544,0.361,0.573,0.504,0.689,0.713,0.406,0.497,0.682,0.471,0.486,0.473,0.677,0.733,0.576,0.581,0.645,0.621,0.772,0.609,0.659,0.514,0.757,0.679,0.748,0.754,0.618,0.673,0.722,0.854,0.735,1.281,1.367,1.089,1.429,1.241,0.985,1.107,1.128,0.973,0.71,0.979,0.774,0.95,0.768,0.919,1.121,1.801,2.058,1.066,2.232,1.374,1.941,2.229,1.895,1.712,1.781,2.408,2.433,2.326,2.471,2.886,2.828,2.436,2.72,2.027,2.21,2.324,3.666,1.957,,,,,,,,,,,,,,,,,
WA,ABLA,L,10N,B,10N-B,WA-ABLA-L-10N-B,,,2013,0,0,0,0,0,94,RINGWIDTH,1,WA-ABLA-L-10N-BOTH.tif,5/4/15 12:38,                   ,,1299 25441 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],560.0000 11920.0000 976.0000 25152.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,140.0727,0.529,0.547,0.416,0.379,0.417,0.406,0.185,0.501,0.379,0.411,0.495,0.83,0.766,0.777,0.587,0.683,0.608,0.624,0.598,0.614,0.54,0.534,0.608,0.8,0.625,0.444,0.593,0.476,0.774,0.814,0.522,0.566,0.767,0.724,0.672,0.602,0.795,0.778,0.633,0.695,0.736,0.727,0.868,0.713,0.915,0.74,0.974,1.005,0.898,1.1,0.82,0.716,0.874,1.021,0.841,1.8,1.666,1.627,2.415,1.76,1.166,1.314,1.295,1.338,0.913,1.209,0.911,1.228,1.025,1.002,1.353,2.302,2.505,1.271,2.606,1.714,2.249,2.447,2.299,2.018,1.899,2.43,2.62,1.988,2.206,2.862,2.478,2.889,2.815,2.165,3.14,2.049,3.183,2.678,,,,,,,,,,,,,,,,,
WA,ABLA,L,7N,A,7N-A,WA-ABLA-L-7N-A,,,2013,0,0,0,0,0,68,RINGWIDTH,1,WA-ABLA-L-7N-BOTH.tif,5/4/15 12:51,                   ,,4017 23157 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],352.0000 16960.0000 480.0000 224.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,174.2322,0.264,0.285,0.276,0.178,0.306,0.507,0.519,0.762,0.836,0.677,0.561,0.635,0.836,1.1,0.984,1.422,1.534,1.566,1.894,2.052,1.857,1.429,2.327,2.686,2.579,2.84,3.174,3.482,4.488,5.609,5.048,3.134,4.591,5.13,4.653,3.981,4.539,4.456,3.653,2.47,0.964,0.645,0.445,0.346,0.383,0.369,0.919,2.023,1.67,2.013,2.129,2.884,3.187,4.297,3.66,5.361,4.657,1.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7N,B,7N-B,WA-ABLA-L-7N-B,,,2013,0,0,0,0,0,69,RINGWIDTH,1,WA-ABLA-L-7N-BOTH.tif,5/4/15 12:51,                   ,,4017 23157 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3232.0000 22688.0000 3360.0000 3136.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,206.8783,0.751,1.364,1.119,0.812,1.128,1.295,0.746,0.992,0.886,0.725,0.503,1.003,1.47,1.577,1.375,1.746,1.955,2.041,2.284,1.883,2,1.66,2.292,3.014,2.274,2.4,3.107,2.502,3.191,2.688,1.926,2.28,2.593,3.399,2.717,2.846,4.549,4.384,3.522,2.462,2.419,2.09,1.478,1.37,1.776,1.517,2.179,2.1,1.852,2.27,2.129,1.015,3.744,4.85,4.135,5.886,4.898,2.854,3.925,5.29,5.092,5.278,5.631,6.015,6.246,7.457,7.73,7.209,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,2N,A,2N-A,WA-ABLA-L-2N-A,,,2013,0,0,0,0,0,95,RINGWIDTH,1,WA-ABLA-L-2N-BOTH.tif,5/4/15 12:59,                   ,,3045 11683 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],435.0000 11613.0000 246.0000 1442.3333  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,161.4469,0.43,0.587,0.428,0.317,0.413,0.508,0.386,0.677,0.571,0.619,0.586,0.874,0.793,0.746,0.888,0.603,0.761,0.697,0.935,0.856,1.052,1.181,1.246,1.483,1.379,1.363,1.592,1.626,1.872,2.02,1.771,1.544,1.905,1.294,0.744,0.743,1.485,1.436,1.064,1.156,1.323,1.61,1.339,1.056,1.388,1.071,1.269,1.175,0.872,1.206,1.428,1.126,1.396,1.285,1.031,2.126,1.854,1.267,1.918,2.012,1.855,1.902,1.605,1.938,1.819,2.394,1.949,2.116,1.727,2.089,2.29,2.934,2.763,2.311,3.216,2.59,2.48,2.712,2.71,2.3,2.467,2.613,2.857,2.493,2.714,3.219,3.376,3.466,3.443,2.884,4.267,2.976,3.671,3.397,0.844,,,,,,,,,,,,,,,,
WA,ABLA,L,2N,B,2N-B,WA-ABLA-L-2N-B,,,2013,0,0,0,0,0,59,RINGWIDTH,1,WA-ABLA-L-2N-BOTH.tif,5/4/15 12:59,                   ,,3045 11683 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2400.0000 11489.0000 2226.6667 6637.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,76.9123,0.267,0.362,0.3,0.363,0.538,0.395,0.348,0.681,0.508,0.476,0.564,1.039,1.333,1.919,2.064,1.761,1.565,1.364,2.056,1.085,1.462,2.465,2.454,3.056,1.897,1.665,1.913,1.924,1.999,2.285,1.507,1.354,1.654,1.089,0.931,0.852,0.997,0.902,0.716,1.136,1.077,1.079,0.977,0.703,0.698,0.619,0.619,0.635,1.285,1.809,1.745,1.347,1.695,1.33,1.108,2.311,2.124,1.443,2.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1N,A,1N-A,WA-ABLA-L-1N-A,,,2013,0,0,0,0,0,91,RINGWIDTH,1,WA-ABLA-L-1N-BOTH.tif,5/4/15 13:10,                   ,,2809 14545 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],470.0000 9530.0000 470.0000 570.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.2047,0.27,0.566,0.318,0.323,0.365,0.413,0.413,0.905,1.111,0.968,0.54,0.767,1.106,1.497,1.55,3.031,2.328,1.798,1.535,2.206,2.36,1.426,0.935,1.841,0.879,1.079,1.483,0.94,0.729,0.91,0.545,0.634,1.394,1.408,0.886,0.679,0.852,0.938,0.642,0.657,0.795,0.465,0.591,0.699,0.699,0.661,1.306,1.425,1.865,1.477,1.01,0.979,1.321,1.399,1.022,1.836,1.706,0.835,1.495,1.552,0.937,1.543,1.567,1.584,1.368,1.258,1.179,1.523,1.327,1.885,2.055,1.701,1.434,1.862,2.273,2.295,1.564,1.836,2.769,2.844,2.359,3.624,2.275,2.729,2.763,3.466,2.284,3.663,2.772,1.624,1.196,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1N,B,1N-B,WA-ABLA-L-1N-B,,,2013,0,0,0,0,0,75,RINGWIDTH,1,WA-ABLA-L-1N-BOTH.tif,5/4/15 13:10,                   ,,2809 14545 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2468.0000 14334.0000 2363.3333 6419.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,125.6197,0.301,0.513,0.273,0.254,0.473,0.436,0.478,0.758,0.79,1.133,0.679,1.256,1.596,1.546,1.378,1.867,1.078,0.709,0.539,0.581,0.728,1.029,0.918,1.502,1.224,1.825,2.301,1.886,1.857,2.336,2.08,1.126,1.992,1.937,1.227,1.18,2.524,3.07,2.41,1.629,2.434,1.905,1.853,2.429,3.825,3.041,3.497,3.085,1.979,2.236,2.071,1.449,1.622,1.804,1.297,2.165,2.731,1.113,2.154,0.87,1.628,1.927,2.023,1.9,1.328,1.304,1.043,1.504,1.331,1.58,1.48,2.433,2.439,2.466,3.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1C,A,1C-A,WA-ABLA-L-1C-A,,,2013,0,0,0,0,0,90,RINGWIDTH,1,WA-ABLA-L-1C-BOTH.tif,5/4/15 13:22,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],261.0000 13028.0000 421.0000 659.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,109.6067,0.485,0.893,0.561,0.48,0.71,0.73,0.492,0.539,0.302,0.381,0.461,0.745,0.626,0.628,0.675,0.944,0.666,0.929,0.959,0.842,0.966,1.008,0.817,0.91,0.588,0.8,0.894,0.896,0.843,0.976,0.619,0.754,0.642,0.388,0.601,0.468,0.624,0.649,0.726,0.602,0.865,0.802,0.531,0.729,0.933,0.938,1.387,0.988,0.983,0.857,0.612,0.923,0.914,0.974,0.787,1.224,0.944,1.348,1.485,1.511,1.434,2.041,1.908,1.733,1.97,1.834,1.133,0.881,1.481,1.968,1.694,1.959,1.287,1.273,1.471,1.544,1.152,1.23,1.363,1.111,1.524,1.528,1.373,1.846,1.859,1.812,1.311,3.026,2.405,1.866,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,1C,B,1C-B,WA-ABLA-L-1C-B,,,2013,0,0,0,0,0,99,RINGWIDTH,1,WA-ABLA-L-1C-BOTH.tif,5/4/15 13:22,                   ,,2494 13337 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2101.0000 9595.5000 2151.0000 3747.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,83.0721,0.154,0.254,0.175,0.195,0.262,0.285,0.222,0.384,0.29,0.111,0.269,0.421,0.23,0.309,0.42,0.404,0.405,0.693,0.524,0.476,0.413,0.45,0.534,0.56,0.388,0.305,0.365,0.441,0.701,0.603,0.164,0.142,0.167,0.078,0.278,0.452,0.545,0.525,0.459,0.461,0.344,0.616,0.539,0.674,0.408,0.381,0.713,0.538,0.662,0.667,0.458,0.314,0.508,0.548,0.48,0.97,0.818,1.007,1.114,1.262,0.883,0.983,0.721,0.972,1.331,0.954,0.647,0.551,0.6,0.51,0.406,0.897,0.416,0.64,0.681,0.761,0.651,0.8,1.087,1.093,1.066,0.926,1.174,1.783,1.839,1.926,1.629,2.187,1.982,1.732,1.255,1.267,1.094,1.865,1.833,2.533,2.357,2.01,1.589,,,,,,,,,,,,
WA,ABLA,L,3C,A,3C-A,WA-ABLA-L-3C-A,,,2013,0,0,0,0,0,107,RINGWIDTH,1,WA-ABLA-L-3C-BOTH.tif,5/4/15 19:11,                   ,,1260 17958 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],730.6667 8785.3333 768.6667 548.3333  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,130.7313,0.147,0.174,0.147,0.145,0.077,0.069,0.074,0.097,0.143,0.2,0.26,0.19,0.194,0.171,0.263,0.133,0.215,0.279,0.216,0.286,0.267,0.33,0.157,0.349,0.315,0.214,0.29,0.284,0.293,0.29,0.147,0.28,0.283,0.299,0.219,0.309,0.344,0.368,0.464,0.566,0.613,0.675,0.675,0.566,0.488,0.409,0.52,0.645,0.505,0.649,0.586,0.539,0.697,0.73,0.762,1.143,1.301,1.111,1.691,1.574,1.101,1.368,1.431,1.385,1.112,1.6,1.329,1.292,0.853,1.744,1.478,1.493,2.109,1.468,2.177,1.491,2.037,2.249,1.866,2.023,1.927,2.089,2.15,2.334,2.241,2.628,2.744,2.954,2.284,2,2.126,1.19,1.398,1.617,1.581,1.815,1.351,1.491,2.161,2.047,2.2,3.484,2.053,1.957,1.496,1.291,1.053,,,,
WA,ABLA,L,3C,B,3C-B,WA-ABLA-L-3C-B,,,2013,0,0,0,0,0,107,RINGWIDTH,1,WA-ABLA-L-3C-BOTH.tif,5/4/15 19:11,                   ,,1260 17958 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],731.0000 8793.0000 611.3333 17380.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,136.2979,0.048,0.073,0.145,0.208,0.187,0.224,0.187,0.251,0.161,0.198,0.103,0.188,0.193,0.272,0.141,0.302,0.302,0.286,0.269,0.27,0.333,0.17,0.195,0.619,0.777,0.666,0.733,0.836,0.795,0.65,0.396,0.507,0.682,0.54,0.396,0.459,0.617,0.759,0.626,0.878,0.919,1.174,0.603,0.507,0.57,0.57,0.979,1.272,0.808,0.888,0.949,0.649,0.632,0.65,0.602,1.332,1.536,1.316,2.023,1.618,0.979,1.274,1.441,1.579,1.328,1.536,1.312,1.312,1.199,1.57,1.349,1.555,1.92,1.317,2.444,1.769,2.061,1.871,1.919,1.396,1.522,1.509,1.97,2.118,2.166,2.56,2.446,2.969,2.147,2.138,2.545,2.118,2.216,2.17,1.962,2.074,1.766,2.087,2.354,2.462,3.291,4.91,2.941,2.646,1.659,1.782,0.612,,,,
WA,ABLA,L,3N,A,3N-A,WA-ABLA-L-3N-A,,,2013,0,0,0,0,0,101,RINGWIDTH,1,WA-ABLA-L-3N-BOTH.tif,5/4/15 19:32,                   ,,2730 12129 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],428.3333 8062.0000 266.0000 880.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,114.0043,0.269,0.317,0.333,0.238,0.286,0.349,0.209,0.251,0.19,0.269,0.301,0.364,0.219,0.224,0.294,0.655,0.603,0.678,0.41,0.759,0.648,0.386,0.422,0.571,0.492,0.475,0.745,0.553,0.76,0.702,0.404,0.349,0.472,0.426,0.41,0.393,0.565,0.454,0.473,0.536,0.597,0.548,0.565,0.484,0.656,0.547,0.671,0.701,0.966,0.903,0.95,1.136,1.183,0.732,0.592,1.249,1.14,1.454,2.321,2.01,1.412,1.3,1.01,1.473,0.97,1.23,1.112,1.138,1.185,1.44,1.53,1.96,2.067,2.307,2.492,1.899,2.102,2.24,2.22,1.747,1.609,1.514,1.499,1.653,1.759,1.996,2.076,1.901,1.871,1.873,2.984,1.046,0.951,3.628,2.548,2.462,1.793,1.022,2.323,2.532,2.047,,,,,,,,,,
WA,ABLA,L,3N,B,3N-B,WA-ABLA-L-3N-B,,,2013,0,0,0,0,0,99,RINGWIDTH,1,WA-ABLA-L-3N-BOTH.tif,5/4/15 19:32,                   ,,2730 12129 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2366.3333 8810.3333 2256.6667 960.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,124.5946,0.076,0.206,0.349,0.301,0.19,0.174,0.206,0.174,0.136,0.112,0.137,0.085,0.042,0.058,0.144,0.602,0.491,0.57,0.507,0.695,0.644,0.488,0.472,0.765,0.808,0.632,0.996,0.586,0.744,0.696,0.459,0.491,0.539,0.46,0.38,0.317,0.476,0.38,0.428,0.38,0.444,0.492,0.602,0.555,0.681,0.719,0.933,0.898,0.925,1.311,0.936,0.698,0.857,0.919,0.697,1.282,1.318,1.288,2.151,1.712,1.76,1.857,1.431,1.773,1.3,1.506,1.459,1.444,1.507,1.681,1.944,2.431,2.122,1.929,2.673,2.467,2.847,2.783,2.963,2.871,2.283,2.514,2.477,2.309,2.654,2.455,2.735,2.537,2.617,2.863,2.915,1.667,1.615,2.775,1.517,3.235,1.478,1.171,1.878,,,,,,,,,,,,
