Year,TmaxAn,TminAn,TaveAn,TaveWin,TaveGS,PPTGS,PPTAn,PPTWin,DD5_An,NFFDGS,NFFDAn,PASAn,ErefGS,CMDGS,CMDAn,TreeID,RWI,Elevation,Competition
1936,22.9,-12.6,4.166666667,-2.516666667,10.85,299,557,258,1245,123,131,170,723,425,439,M.2H,0.760336293,M,C
1935,22.6,-10.7,4.108333333,-1.35,9.566666667,342,711,369,1130,109,123,308,680,345,407,M.2H,0.947220896,M,C
1934,25.7,-10.3,6.308333333,1.083333333,11.53333333,231,459,228,1438,118,139,79,772,541,634,M.2H,0.538842082,M,C
1933,25.1,-18.5,3.433333333,-3.416666667,10.28333333,322,548,226,1255,114,123,222,728,407,452,M.2H,0.580608025,M,C
1932,24,-17,3.766666667,-2.766666667,10.3,346,714,368,1192,107,122,254,733,385,385,M.2H,0.863078682,M,C
1931,25.3,-15,4.708333333,-1.7,11.11666667,284,487,203,1302,120,129,131,752,468,518,M.2H,0.747297639,M,C
1930,23.9,-15,4.475,-1.783333333,10.73333333,320,553,233,1234,111,125,167,749,428,456,M.2H,0.721443839,M,C
1929,24.9,-14.2,3.175,-3.616666667,9.966666667,405,778,373,1165,111,123,283,710,318,318,M.2H,0.917417644,M,C
1928,24.2,-15.8,3.808333333,-2.166666667,9.783333333,206,480,274,1108,110,122,185,706,499,524,M.2H,0.905597512,M,C
1927,22.5,-13.7,4.025,-1.316666667,9.366666667,329,646,317,1044,115,131,214,664,362,395,M.2H,0.940344654,M,C
1926,23.5,-13.5,4.033333333,-2.016666667,10.08333333,342,592,250,1127,121,134,155,690,367,367,M.2H,1.089642311,M,C
1925,24.3,-16.3,4.466666667,-1.933333333,10.86666667,360,606,246,1257,129,141,151,712,363,404,M.2H,0.792782226,M,C
1924,24.4,-15.9,4.225,-2.116666667,10.56666667,175,431,256,1208,113,125,190,751,577,607,M.2H,0.991666279,M,C
1923,24.1,-11.6,4.416666667,-1.216666667,10.05,319,599,280,1153,113,124,185,703,385,439,M.2H,0.921574221,M,C
1922,24.8,-14.4,4.658333333,-1.25,10.56666667,201,520,319,1311,119,137,220,730,530,573,M.2H,0.827684196,M,C
1921,23.3,-12.4,4.708333333,-0.75,10.16666667,297,492,195,1177,116,131,94,703,408,422,M.2H,1.224048242,M,C
1920,24.2,-11.3,4.133333333,-1.266666667,9.533333333,293,678,385,1084,114,125,251,698,404,404,M.2H,1.186413574,M,C
1919,24.5,-16.3,3.975,-3.283333333,11.23333333,337,635,298,1330,132,149,240,726,388,411,M.2H,1.179135878,M,C
1918,24.5,-12.9,5.166666667,-0.1,10.43333333,281,513,232,1269,119,133,139,713,432,538,M.2H,1.075466158,M,C
1917,24.8,-14.1,3.25,-3.166666667,9.666666667,229,473,244,1122,110,124,178,700,472,472,M.2H,0.903746105,M,C
1916,23,-10.6,4.708333333,-0.583333333,10,257,584,327,1152,108,123,182,707,450,516,M.2H,1.385999941,M,C
1915,22.5,-13.8,3.7,-2.183333333,9.583333333,292,595,303,1055,113,129,212,680,389,422,M.2H,1.236321747,M,C
1914,22.9,-13.5,4.533333333,-1.783333333,10.85,234,554,320,1234,132,146,187,704,470,518,M.2H,1.218906602,M,C
1913,24,-14.1,3.775,-2.983333333,10.53333333,258,532,274,1187,122,134,193,721,464,464,M.2H,0.888034985,M,C
1912,22.8,-13.6,3.716666667,-2.116666667,9.55,212,504,292,1069,111,126,153,686,476,476,M.2H,1.216778482,M,C
1911,23.2,-9.7,5.375,0.25,10.5,374,886,512,1238,127,151,204,694,320,320,M.2H,1.239373662,M,C
1910,25.1,-16.6,4.858333333,-1.85,11.56666667,179,472,293,1419,129,146,203,761,580,667,M.2H,1.066976462,M,C
1909,24.3,-13,4.008333333,-2.066666667,10.08333333,346,764,418,1155,116,126,281,692,347,347,M.2H,1.069243446,M,C
1908,23.8,-11.3,4.383333333,-0.933333333,9.7,363,679,316,1130,106,129,217,697,334,366,M.2H,1.176041848,M,C
1907,23.7,-8.1,5.241666667,0.766666667,9.716666667,359,770,411,1109,110,132,170,681,326,361,M.2H,1.073303995,M,C
1906,22.2,-14.2,4.208333333,-1.5,9.916666667,325,651,326,1111,117,129,222,692,367,424,M.2H,1.08766678,M,C
1905,24.5,-11.7,4.433333333,-1.316666667,10.18333333,289,713,424,1181,117,134,259,709,425,461,M.2H,1.162155151,M,C
1904,23.8,-13.7,5.408333333,-0.033333333,10.85,270,401,131,1289,125,143,57,720,450,542,M.2H,1.270060538,M,C
1903,24.8,-14.2,4.2,-2.083333333,10.48333333,347,638,291,1237,127,146,222,696,349,384,M.2H,0.504687452,M,C
1902,25.6,-11.8,5.633333333,-0.216666667,11.48333333,253,443,190,1409,124,144,95,777,522,567,M.2H,0.515622689,M,C
2011,25.7,-13.5,5.433333333,-0.583333333,11.45,255,527,272,1435,126,148,132,739,482,506,M.3H,1.141949843,M,C
2010,24.9,-16.5,4.491666667,-2.366666667,11.35,247,609,362,1343,125,135,233,735,487,489,M.3H,1.11622718,M,C
2009,25.7,-12.1,5.5,-0.183333333,11.18333333,209,576,367,1371,127,142,166,749,538,560,M.3H,1.136341123,M,C
2008,24.8,-13.8,4.65,-1.383333333,10.68333333,236,497,261,1294,115,128,193,738,502,550,M.3H,0.833032164,M,C
2007,25.7,-14.1,5.441666667,-0.95,11.83333333,328,688,360,1440,126,141,174,766,435,445,M.3H,1.112408175,M,C
2006,24.9,-11.4,5.7,-0.016666667,11.41666667,366,727,361,1368,129,148,162,749,382,382,M.3H,0.989409648,M,C
2005,25,-11.6,5.125,-0.683333333,10.93333333,240,607,367,1297,120,138,175,734,494,494,M.3H,1.363286797,M,C
2004,24.5,-12.5,5.275,-0.416666667,10.96666667,239,610,371,1368,127,148,179,740,501,505,M.3H,0.881032287,M,C
2003,27.8,-10.2,5.908333333,-0.066666667,11.88333333,194,546,352,1454,128,143,156,765,571,572,M.3H,0.751342723,M,C
2002,26,-13.1,5.691666667,-0.666666667,12.05,252,517,265,1481,134,151,121,779,527,547,M.3H,0.258743919,M,C
2001,24.4,-11.9,5.475,-1.05,12,258,587,329,1455,132,150,156,772,516,516,M.3H,0.674813586,M,C
2000,25.6,-12.2,6.383333333,0.55,12.21666667,193,519,326,1514,133,148,130,786,593,625,M.3H,0.727887876,M,C
1999,23.2,-13.6,4.866666667,0.133333333,9.6,348,636,288,1131,108,124,141,695,347,360,M.3H,1.442130676,M,C
1998,24.4,-12.4,4.875,-0.933333333,10.68333333,346,666,320,1279,115,125,196,735,387,395,M.3H,0.988917,M,C
1997,23.3,-10.6,4.941666667,-0.4,10.28333333,307,622,315,1233,124,142,166,708,406,419,M.3H,1.162030538,M,C
1996,25,-11.7,5.85,-0.083333333,11.78333333,308,576,268,1436,135,150,141,748,440,515,M.3H,0.916837089,M,C
1995,23.7,-11.3,4.95,-0.4,10.3,309,724,415,1205,123,143,211,682,376,377,M.3H,1.184894531,M,C
1994,24.9,-13.8,5.066666667,-1.733333333,11.86666667,320,560,240,1440,138,152,146,743,422,470,M.3H,0.900186236,M,C
1993,24.3,-13.1,4.675,-0.916666667,10.26666667,244,611,367,1234,118,139,214,714,476,522,M.3H,0.736549387,M,C
1992,22.7,-13.8,5.3,-0.983333333,11.58333333,312,703,391,1386,138,155,186,740,428,448,M.3H,0.779360629,M,C
1991,23.7,-15.6,4.491666667,-1.75,10.73333333,283,626,343,1292,123,137,205,720,437,442,M.3H,0.774845186,M,C
1990,25.5,-13.1,5.616666667,-0.683333333,11.91666667,384,565,181,1445,132,146,90,760,376,444,M.3H,1.097359525,M,C
1989,26.2,-14,5.8,-0.483333333,12.08333333,174,498,324,1518,128,149,178,792,618,700,M.3H,0.756833907,M,C
1988,24.5,-13.8,4.983333333,-1.416666667,11.38333333,290,647,357,1390,126,143,193,740,450,450,M.3H,1.203604733,M,C
1987,24.2,-11.7,4.958333333,-1.133333333,11.05,289,666,377,1273,124,141,203,745,456,456,M.3H,1.554614193,M,C
1986,24.3,-11.6,5.533333333,0.383333333,10.68333333,469,783,314,1282,125,146,137,706,279,294,M.3H,2.139209091,M,C
1985,25,-11.8,4.9,-1.45,11.25,352,780,428,1286,127,141,216,746,422,422,M.3H,1.18129346,M,C
1984,24.8,-14.2,5.025,-1.35,11.4,327,676,349,1430,132,150,232,732,405,442,M.3H,1.259246311,M,C
1983,24.4,-11.1,4.708333333,-1.05,10.46666667,361,760,399,1267,120,133,267,700,342,373,M.3H,1.763874905,M,C
1982,24.2,-12.8,4.891666667,-0.95,10.73333333,347,731,384,1272,125,144,201,706,371,373,M.3H,1.680733254,M,C
1981,23.9,-10.3,6.066666667,0.466666667,11.66666667,361,591,230,1404,134,148,111,731,371,385,M.3H,1.298477076,M,C
1980,25.4,-11,4.833333333,-1.116666667,10.78333333,276,669,393,1332,119,136,278,734,458,493,M.3H,0.630600615,M,C
1979,24.7,-15.3,4.133333333,-2.45,10.71666667,193,750,557,1297,120,136,384,735,542,549,M.3H,0.834330143,M,C
1978,25.6,-11.5,5.233333333,-0.166666667,10.63333333,245,690,445,1273,119,135,225,736,491,515,M.3H,0.837768191,M,C
1977,24.1,-15.5,4.883333333,-1.983333333,11.75,298,381,83,1393,129,137,68,747,451,503,M.3H,0.486590502,M,C
1976,24.8,-13.6,4.841666667,-0.95,10.63333333,281,515,234,1244,121,130,133,730,449,501,M.3H,0.727271391,M,C
1975,23.3,-14.1,3.666666667,-2.083333333,9.416666667,234,675,441,1115,104,121,292,692,459,459,M.3H,1.109261011,M,C
1974,23.4,-14.9,4.8,-1.25,10.85,181,408,227,1313,120,133,151,752,571,640,M.3H,0.556019102,M,C
1973,23.3,-15.3,3.558333333,-2.533333333,9.65,249,768,519,1135,109,132,325,701,452,452,M.3H,1.037404035,M,C
1972,25.1,-12.6,5.091666667,-0.8,10.98333333,248,508,260,1294,120,134,125,749,500,561,M.3H,0.868395817,M,C
1971,25,-12.9,4.333333333,-1.716666667,10.38333333,332,536,204,1186,108,118,131,731,398,398,M.3H,0.773209701,M,C
1970,24.2,-12.1,4.425,-1.2,10.05,306,611,305,1175,115,129,177,699,408,408,M.3H,0.861176595,M,C
1969,24.2,-14.4,4.6,-2,11.2,306,705,399,1320,129,144,262,715,409,431,M.3H,1.341502929,M,C
1968,22.8,-14.4,4.2,-1.133333333,9.533333333,260,515,255,1119,112,125,214,682,423,525,M.3H,1.473347264,M,C
1967,24,-13.6,4.975,-0.3,10.25,281,499,218,1228,120,135,126,693,412,498,M.3H,1.658631938,M,C
1966,25,-14.6,5.225,-0.966666667,11.41666667,240,577,337,1406,127,142,154,751,511,546,M.3H,1.31763838,M,C
1965,23.1,-12.7,4.166666667,-1.316666667,9.65,407,731,324,1120,118,130,264,661,271,345,M.3H,1.571788322,M,C
1964,24.5,-15,4.3,-1.683333333,10.28333333,333,537,204,1275,121,141,163,698,384,406,M.3H,1.075020848,M,C
1963,25.4,-16,5.416666667,-0.633333333,11.46666667,247,555,308,1425,129,148,142,739,492,492,M.3H,0.636114295,M,C
1962,24.8,-14.8,4.408333333,-2.116666667,10.93333333,199,488,289,1245,119,132,157,748,549,549,M.3H,0.910512663,M,C
1961,24.4,-13.9,4.925,-0.783333333,10.63333333,271,625,354,1259,119,137,171,729,458,463,M.3H,0.539652867,M,C
1960,25.8,-14.5,4.85,-1.583333333,11.28333333,204,604,400,1342,120,133,211,772,566,571,M.3H,0.992520892,M,C
1959,25,-12,5.341666667,-0.316666667,11,278,470,192,1321,124,138,103,741,464,485,M.3H,0.586277771,M,C
1958,25.4,-12.6,5,-1.133333333,11.13333333,199,649,450,1355,125,145,249,761,562,562,M.3H,0.616883166,M,C
1957,22.7,-14.2,4.508333333,-0.766666667,9.783333333,409,683,274,1147,112,125,182,684,287,315,M.3H,0.915727079,M,C
1956,24.1,-13.1,5.291666667,-0.466666667,11.05,119,395,276,1335,119,133,134,767,650,718,M.3H,0.544922139,M,C
1955,23.6,-15.5,4.308333333,-1.433333333,10.05,266,514,248,1221,113,131,179,706,440,471,M.3H,0.729973427,M,C
1954,24.2,-13.4,5.608333333,-0.2,11.41666667,309,619,310,1358,129,145,124,740,431,459,M.3H,0.890063814,M,C
1953,23.8,-12.5,4.658333333,-0.833333333,10.15,217,469,252,1239,113,124,184,707,492,568,M.3H,0.881146908,M,C
1952,23.5,-13.7,4.075,-2.716666667,10.86666667,233,625,392,1253,127,138,282,719,485,489,M.3H,1.166828067,M,C
1951,25.7,-11.7,5.216666667,0.05,10.38333333,261,468,207,1281,107,125,136,736,477,546,M.3H,0.863091091,M,C
1950,23.3,-13.4,4.416666667,-0.85,9.683333333,219,497,278,1070,98,109,145,727,508,528,M.3H,0.635012995,M,C
1949,23.9,-16.2,3.741666667,-2.933333333,10.41666667,305,673,368,1183,117,126,263,722,416,416,M.3H,1.138470541,M,C
1948,24.3,-12.8,4.15,-2.25,10.55,265,649,384,1219,116,131,235,738,472,472,M.3H,0.934469648,M,C
1947,24.6,-14.5,4.691666667,-1.116666667,10.5,328,643,315,1202,120,131,150,714,387,387,M.3H,1.083561914,M,C
1946,24.1,-16.1,4.608333333,-1.8,11.01666667,341,592,251,1295,122,139,154,732,389,393,M.3H,0.692724884,M,C
1945,23.5,-12.7,4.191666667,-1.2,9.583333333,182,568,386,1148,103,122,290,696,518,543,M.3H,0.918288576,M,C
1944,23.6,-12.2,3.933333333,-1.6,9.466666667,272,611,339,1077,105,118,247,699,428,428,M.3H,0.862698074,M,C
1943,24,-11.9,5.141666667,-0.583333333,10.86666667,312,686,374,1244,118,132,205,730,417,449,M.3H,1.353870211,M,C
1942,23.6,-13.5,3.933333333,-2.133333333,10,162,514,352,1115,105,120,210,716,554,554,M.3H,0.885865462,M,C
1941,22.9,-11.1,4.416666667,-0.6,9.433333333,397,876,479,1094,119,137,307,666,318,327,M.3H,1.069389166,M,C
1940,25.2,-12.7,4.85,-1.5,11.2,344,644,300,1323,131,142,225,740,415,465,M.3H,1.026117251,M,C
1939,23.8,-16,4,-2.8,10.8,219,553,334,1229,123,134,214,728,516,516,M.3H,0.719280449,M,C
1938,24,-11.1,4.558333333,-0.866666667,9.983333333,277,623,346,1155,115,130,231,703,427,482,M.3H,0.833365273,M,C
1937,24.8,-19.5,3.933333333,-2.683333333,10.55,242,617,375,1233,111,123,263,750,507,507,M.3H,1.076229027,M,C
1936,22.9,-12.6,4.166666667,-2.516666667,10.85,299,557,258,1245,123,131,170,723,425,439,M.3H,0.78123926,M,C
1935,22.6,-10.7,4.108333333,-1.35,9.566666667,342,711,369,1130,109,123,308,680,345,407,M.3H,1.001195503,M,C
1934,25.7,-10.3,6.308333333,1.083333333,11.53333333,231,459,228,1438,118,139,79,772,541,634,M.3H,0.492262964,M,C
1933,25.1,-18.5,3.433333333,-3.416666667,10.28333333,322,548,226,1255,114,123,222,728,407,452,M.3H,0.814681265,M,C
1932,24,-17,3.766666667,-2.766666667,10.3,346,714,368,1192,107,122,254,733,385,385,M.3H,0.852108378,M,C
1931,25.3,-15,4.708333333,-1.7,11.11666667,284,487,203,1302,120,129,131,752,468,518,M.3H,0.785376873,M,C
1930,23.9,-15,4.475,-1.783333333,10.73333333,320,553,233,1234,111,125,167,749,428,456,M.3H,1.139435696,M,C
1929,24.9,-14.2,3.175,-3.616666667,9.966666667,405,778,373,1165,111,123,283,710,318,318,M.3H,1.052213987,M,C
1928,24.2,-15.8,3.808333333,-2.166666667,9.783333333,206,480,274,1108,110,122,185,706,499,524,M.3H,0.984020018,M,C
1927,22.5,-13.7,4.025,-1.316666667,9.366666667,329,646,317,1044,115,131,214,664,362,395,M.3H,0.981622938,M,C
1926,23.5,-13.5,4.033333333,-2.016666667,10.08333333,342,592,250,1127,121,134,155,690,367,367,M.3H,0.99440208,M,C
1925,24.3,-16.3,4.466666667,-1.933333333,10.86666667,360,606,246,1257,129,141,151,712,363,404,M.3H,0.839705085,M,C
1924,24.4,-15.9,4.225,-2.116666667,10.56666667,175,431,256,1208,113,125,190,751,577,607,M.3H,0.932231883,M,C
1923,24.1,-11.6,4.416666667,-1.216666667,10.05,319,599,280,1153,113,124,185,703,385,439,M.3H,1.034415516,M,C
1922,24.8,-14.4,4.658333333,-1.25,10.56666667,201,520,319,1311,119,137,220,730,530,573,M.3H,0.994799194,M,C
1921,23.3,-12.4,4.708333333,-0.75,10.16666667,297,492,195,1177,116,131,94,703,408,422,M.3H,1.427170504,M,C
1920,24.2,-11.3,4.133333333,-1.266666667,9.533333333,293,678,385,1084,114,125,251,698,404,404,M.3H,1.28204402,M,C
1919,24.5,-16.3,3.975,-3.283333333,11.23333333,337,635,298,1330,132,149,240,726,388,411,M.3H,1.298963296,M,C
1918,24.5,-12.9,5.166666667,-0.1,10.43333333,281,513,232,1269,119,133,139,713,432,538,M.3H,0.962774897,M,C
1917,24.8,-14.1,3.25,-3.166666667,9.666666667,229,473,244,1122,110,124,178,700,472,472,M.3H,0.970033596,M,C
1916,23,-10.6,4.708333333,-0.583333333,10,257,584,327,1152,108,123,182,707,450,516,M.3H,1.227909827,M,C
1915,22.5,-13.8,3.7,-2.183333333,9.583333333,292,595,303,1055,113,129,212,680,389,422,M.3H,1.0351254,M,C
1914,22.9,-13.5,4.533333333,-1.783333333,10.85,234,554,320,1234,132,146,187,704,470,518,M.3H,1.286207821,M,C
1913,24,-14.1,3.775,-2.983333333,10.53333333,258,532,274,1187,122,134,193,721,464,464,M.3H,0.824453913,M,C
1912,22.8,-13.6,3.716666667,-2.116666667,9.55,212,504,292,1069,111,126,153,686,476,476,M.3H,1.106872218,M,C
1911,23.2,-9.7,5.375,0.25,10.5,374,886,512,1238,127,151,204,694,320,320,M.3H,1.13292402,M,C
1910,25.1,-16.6,4.858333333,-1.85,11.56666667,179,472,293,1419,129,146,203,761,580,667,M.3H,0.933814848,M,C
1909,24.3,-13,4.008333333,-2.066666667,10.08333333,346,764,418,1155,116,126,281,692,347,347,M.3H,0.944210407,M,C
1908,23.8,-11.3,4.383333333,-0.933333333,9.7,363,679,316,1130,106,129,217,697,334,366,M.3H,1.185058208,M,C
1907,23.7,-8.1,5.241666667,0.766666667,9.716666667,359,770,411,1109,110,132,170,681,326,361,M.3H,1.2223309,M,C
1906,22.2,-14.2,4.208333333,-1.5,9.916666667,325,651,326,1111,117,129,222,692,367,424,M.3H,1.229939971,M,C
1905,24.5,-11.7,4.433333333,-1.316666667,10.18333333,289,713,424,1181,117,134,259,709,425,461,M.3H,1.153093178,M,C
1904,23.8,-13.7,5.408333333,-0.033333333,10.85,270,401,131,1289,125,143,57,720,450,542,M.3H,0.753174818,M,C
1903,24.8,-14.2,4.2,-2.083333333,10.48333333,347,638,291,1237,127,146,222,696,349,384,M.3H,0.915146244,M,C
1902,25.6,-11.8,5.633333333,-0.216666667,11.48333333,253,443,190,1409,124,144,95,777,522,567,M.3H,0.420732248,M,C
2011,25.7,-13.5,5.433333333,-0.583333333,11.45,255,527,272,1435,126,148,132,739,482,506,M.4H,1.073096468,M,C
2010,24.9,-16.5,4.491666667,-2.366666667,11.35,247,609,362,1343,125,135,233,735,487,489,M.4H,1.438526392,M,C
2009,25.7,-12.1,5.5,-0.183333333,11.18333333,209,576,367,1371,127,142,166,749,538,560,M.4H,1.407617845,M,C
2008,24.8,-13.8,4.65,-1.383333333,10.68333333,236,497,261,1294,115,128,193,738,502,550,M.4H,0.958205568,M,C
2007,25.7,-14.1,5.441666667,-0.95,11.83333333,328,688,360,1440,126,141,174,766,435,445,M.4H,1.312701547,M,C
2006,24.9,-11.4,5.7,-0.016666667,11.41666667,366,727,361,1368,129,148,162,749,382,382,M.4H,0.700368232,M,C
2005,25,-11.6,5.125,-0.683333333,10.93333333,240,607,367,1297,120,138,175,734,494,494,M.4H,0.716800082,M,C
2004,24.5,-12.5,5.275,-0.416666667,10.96666667,239,610,371,1368,127,148,179,740,501,505,M.4H,0.402174277,M,C
2003,27.8,-10.2,5.908333333,-0.066666667,11.88333333,194,546,352,1454,128,143,156,765,571,572,M.4H,0.452049356,M,C
2002,26,-13.1,5.691666667,-0.666666667,12.05,252,517,265,1481,134,151,121,779,527,547,M.4H,0.142314902,M,C
2001,24.4,-11.9,5.475,-1.05,12,258,587,329,1455,132,150,156,772,516,516,M.4H,0.349258263,M,C
2000,25.6,-12.2,6.383333333,0.55,12.21666667,193,519,326,1514,133,148,130,786,593,625,M.4H,0.811693861,M,C
1999,23.2,-13.6,4.866666667,0.133333333,9.6,348,636,288,1131,108,124,141,695,347,360,M.4H,1.111876761,M,C
1998,24.4,-12.4,4.875,-0.933333333,10.68333333,346,666,320,1279,115,125,196,735,387,395,M.4H,0.697871537,M,C
1997,23.3,-10.6,4.941666667,-0.4,10.28333333,307,622,315,1233,124,142,166,708,406,419,M.4H,0.64268452,M,C
1996,25,-11.7,5.85,-0.083333333,11.78333333,308,576,268,1436,135,150,141,748,440,515,M.4H,1.046699885,M,C
1995,23.7,-11.3,4.95,-0.4,10.3,309,724,415,1205,123,143,211,682,376,377,M.4H,1.288608322,M,C
1994,24.9,-13.8,5.066666667,-1.733333333,11.86666667,320,560,240,1440,138,152,146,743,422,470,M.4H,1.109378053,M,C
1993,24.3,-13.1,4.675,-0.916666667,10.26666667,244,611,367,1234,118,139,214,714,476,522,M.4H,1.014385764,M,C
1992,22.7,-13.8,5.3,-0.983333333,11.58333333,312,703,391,1386,138,155,186,740,428,448,M.4H,1.016960283,M,C
1991,23.7,-15.6,4.491666667,-1.75,10.73333333,283,626,343,1292,123,137,205,720,437,442,M.4H,1.349252536,M,C
1990,25.5,-13.1,5.616666667,-0.683333333,11.91666667,384,565,181,1445,132,146,90,760,376,444,M.4H,1.344750875,M,C
1989,26.2,-14,5.8,-0.483333333,12.08333333,174,498,324,1518,128,149,178,792,618,700,M.4H,1.08458494,M,C
1988,24.5,-13.8,4.983333333,-1.416666667,11.38333333,290,647,357,1390,126,143,193,740,450,450,M.4H,1.32332105,M,C
1987,24.2,-11.7,4.958333333,-1.133333333,11.05,289,666,377,1273,124,141,203,745,456,456,M.4H,1.52611708,M,C
1986,24.3,-11.6,5.533333333,0.383333333,10.68333333,469,783,314,1282,125,146,137,706,279,294,M.4H,1.860218474,M,C
1985,25,-11.8,4.9,-1.45,11.25,352,780,428,1286,127,141,216,746,422,422,M.4H,1.29754535,M,C
1984,24.8,-14.2,5.025,-1.35,11.4,327,676,349,1430,132,150,232,732,405,442,M.4H,1.128314655,M,C
1983,24.4,-11.1,4.708333333,-1.05,10.46666667,361,760,399,1267,120,133,267,700,342,373,M.4H,0.856139063,M,C
1982,24.2,-12.8,4.891666667,-0.95,10.73333333,347,731,384,1272,125,144,201,706,371,373,M.4H,0.881989773,M,C
1981,23.9,-10.3,6.066666667,0.466666667,11.66666667,361,591,230,1404,134,148,111,731,371,385,M.4H,0.999813498,M,C
1980,25.4,-11,4.833333333,-1.116666667,10.78333333,276,669,393,1332,119,136,278,734,458,493,M.4H,0.679798366,M,C
1979,24.7,-15.3,4.133333333,-2.45,10.71666667,193,750,557,1297,120,136,384,735,542,549,M.4H,1.066387095,M,C
1978,25.6,-11.5,5.233333333,-0.166666667,10.63333333,245,690,445,1273,119,135,225,736,491,515,M.4H,0.931344619,M,C
1977,24.1,-15.5,4.883333333,-1.983333333,11.75,298,381,83,1393,129,137,68,747,451,503,M.4H,0.640940332,M,C
1976,24.8,-13.6,4.841666667,-0.95,10.63333333,281,515,234,1244,121,130,133,730,449,501,M.4H,1.140501062,M,C
1975,23.3,-14.1,3.666666667,-2.083333333,9.416666667,234,675,441,1115,104,121,292,692,459,459,M.4H,1.22624197,M,C
1974,23.4,-14.9,4.8,-1.25,10.85,181,408,227,1313,120,133,151,752,571,640,M.4H,1.075055298,M,C
1973,23.3,-15.3,3.558333333,-2.533333333,9.65,249,768,519,1135,109,132,325,701,452,452,M.4H,1.007536769,M,C
1972,25.1,-12.6,5.091666667,-0.8,10.98333333,248,508,260,1294,120,134,125,749,500,561,M.4H,1.160033231,M,C
1971,25,-12.9,4.333333333,-1.716666667,10.38333333,332,536,204,1186,108,118,131,731,398,398,M.4H,1.180818779,M,C
1970,24.2,-12.1,4.425,-1.2,10.05,306,611,305,1175,115,129,177,699,408,408,M.4H,1.030870407,M,C
1969,24.2,-14.4,4.6,-2,11.2,306,705,399,1320,129,144,262,715,409,431,M.4H,1.370127398,M,C
1968,22.8,-14.4,4.2,-1.133333333,9.533333333,260,515,255,1119,112,125,214,682,423,525,M.4H,1.241297521,M,C
1967,24,-13.6,4.975,-0.3,10.25,281,499,218,1228,120,135,126,693,412,498,M.4H,1.182706562,M,C
1966,25,-14.6,5.225,-0.966666667,11.41666667,240,577,337,1406,127,142,154,751,511,546,M.4H,1.096782623,M,C
1965,23.1,-12.7,4.166666667,-1.316666667,9.65,407,731,324,1120,118,130,264,661,271,345,M.4H,1.28540916,M,C
1964,24.5,-15,4.3,-1.683333333,10.28333333,333,537,204,1275,121,141,163,698,384,406,M.4H,0.82002138,M,C
1963,25.4,-16,5.416666667,-0.633333333,11.46666667,247,555,308,1425,129,148,142,739,492,492,M.4H,0.495283729,M,C
1962,24.8,-14.8,4.408333333,-2.116666667,10.93333333,199,488,289,1245,119,132,157,748,549,549,M.4H,0.885525958,M,C
1961,24.4,-13.9,4.925,-0.783333333,10.63333333,271,625,354,1259,119,137,171,729,458,463,M.4H,0.785371771,M,C
1960,25.8,-14.5,4.85,-1.583333333,11.28333333,204,604,400,1342,120,133,211,772,566,571,M.4H,0.883028798,M,C
1959,25,-12,5.341666667,-0.316666667,11,278,470,192,1321,124,138,103,741,464,485,M.4H,0.453175541,M,C
1958,25.4,-12.6,5,-1.133333333,11.13333333,199,649,450,1355,125,145,249,761,562,562,M.4H,0.888670509,M,C
1957,22.7,-14.2,4.508333333,-0.766666667,9.783333333,409,683,274,1147,112,125,182,684,287,315,M.4H,1.107522599,M,C
1956,24.1,-13.1,5.291666667,-0.466666667,11.05,119,395,276,1335,119,133,134,767,650,718,M.4H,0.817002193,M,C
1955,23.6,-15.5,4.308333333,-1.433333333,10.05,266,514,248,1221,113,131,179,706,440,471,M.4H,1.273382677,M,C
1954,24.2,-13.4,5.608333333,-0.2,11.41666667,309,619,310,1358,129,145,124,740,431,459,M.4H,1.22077375,M,C
1953,23.8,-12.5,4.658333333,-0.833333333,10.15,217,469,252,1239,113,124,184,707,492,568,M.4H,1.222288044,M,C
1952,23.5,-13.7,4.075,-2.716666667,10.86666667,233,625,392,1253,127,138,282,719,485,489,M.4H,1.113993238,M,C
1951,25.7,-11.7,5.216666667,0.05,10.38333333,261,468,207,1281,107,125,136,736,477,546,M.4H,0.854553177,M,C
1950,23.3,-13.4,4.416666667,-0.85,9.683333333,219,497,278,1070,98,109,145,727,508,528,M.4H,0.879273568,M,C
1949,23.9,-16.2,3.741666667,-2.933333333,10.41666667,305,673,368,1183,117,126,263,722,416,416,M.4H,1.250753923,M,C
1948,24.3,-12.8,4.15,-2.25,10.55,265,649,384,1219,116,131,235,738,472,472,M.4H,0.915293566,M,C
1947,24.6,-14.5,4.691666667,-1.116666667,10.5,328,643,315,1202,120,131,150,714,387,387,M.4H,1.195273707,M,C
1946,24.1,-16.1,4.608333333,-1.8,11.01666667,341,592,251,1295,122,139,154,732,389,393,M.4H,0.759032346,M,C
1945,23.5,-12.7,4.191666667,-1.2,9.583333333,182,568,386,1148,103,122,290,696,518,543,M.4H,0.907369225,M,C
1944,23.6,-12.2,3.933333333,-1.6,9.466666667,272,611,339,1077,105,118,247,699,428,428,M.4H,0.927058162,M,C
1943,24,-11.9,5.141666667,-0.583333333,10.86666667,312,686,374,1244,118,132,205,730,417,449,M.4H,1.032223021,M,C
1942,23.6,-13.5,3.933333333,-2.133333333,10,162,514,352,1115,105,120,210,716,554,554,M.4H,0.891448014,M,C
